slug,name,party,scope_tags,personalization_tier,letter_status,layout_status,print_status,send_status,postage_path,notes
greg-o-connor,Greg O'Connor,Labour Party,special|pilot,special,not-started,not-started,not-started,not-sent,separate,Actual electorate MP; constituent tone; see data/SPECIAL-NOTES.md
scott-willis,Scott Willis,Green Party,special,special,not-started,not-started,not-started,not-sent,separate,Family friend; likely direct/personal communication; see data/SPECIAL-NOTES.md
steve-abel,Steve Abel,Green Party,later,light,not-started,not-started,not-started,not-sent,,
ginny-andersen,Ginny Andersen,Labour Party,later,light,not-started,not-started,not-started,not-sent,,
miles-anderson,Miles Anderson,National Party,later,light,not-started,not-started,not-started,not-sent,,
jamie-arbuckle,Jamie Arbuckle,NZ First Party,later,light,not-started,not-started,not-started,not-sent,,
carl-bates,Carl Bates,National Party,later,light,not-started,not-started,not-started,not-sent,,
andrew-bayly,Andrew Bayly,National Party,later,light,not-started,not-started,not-started,not-sent,,
camilla-belich,Camilla Belich,Labour Party,later,light,not-started,not-started,not-started,not-sent,,
glen-bennett,Glen Bennett,Labour Party,later,light,not-started,not-started,not-started,not-sent,,
dan-bidois,Dan Bidois,National Party,later,light,not-started,not-started,not-started,not-sent,,
chris-bishop,Chris Bishop,National Party,later,light,not-started,not-started,not-started,not-sent,,
rachel-boyack,Rachel Boyack,Labour Party,later,light,not-started,not-started,not-started,not-sent,,
cameron-brewer,Cameron Brewer,National Party,later,light,not-started,not-started,not-started,not-sent,,
rachel-brooking,Rachel Brooking,Labour Party,later,light,not-started,not-started,not-started,not-sent,,
simeon-brown,Simeon Brown,National Party,later,light,not-started,not-started,not-started,not-sent,,
gerry-brownlee,Gerry Brownlee,National Party,candidate-ai-tech,medium,not-started,not-started,not-started,not-sent,,
mike-butterick,Mike Butterick,National Party,later,light,not-started,not-started,not-started,not-sent,,
mark-cameron,Mark Cameron,ACT Party,later,light,not-started,not-started,not-started,not-sent,,
hamish-campbell,Hamish Campbell,National Party,candidate-edsi,medium,not-started,not-started,not-started,not-sent,,
kahurangi-carter,Kahurangi Carter,Green Party,later,light,not-started,not-started,not-started,not-sent,,
carlos-cheung,Carlos Cheung,National Party,later,light,not-started,not-started,not-started,not-sent,,
karen-chhour,Karen Chhour,ACT Party,later,light,not-started,not-started,not-started,not-sent,,
judith-collins,Judith Collins,National Party,later,light,not-started,not-started,not-started,not-sent,,
casey-costello,Casey Costello,NZ First Party,later,light,not-started,not-started,not-started,not-sent,,
tim-costley,Tim Costley,National Party,later,light,not-started,not-started,not-started,not-sent,,
simon-court,Simon Court,ACT Party,later,light,not-started,not-started,not-started,not-sent,,
marama-davidson,Marama Davidson,Green Party,later,light,not-started,not-started,not-started,not-sent,,
mike-davidson,Mike Davidson,Green Party,later,light,not-started,not-started,not-started,not-sent,,
reuben-davidson,Reuben Davidson,Labour Party,candidate-ai-tech|candidate-edsi,medium,not-started,not-started,not-started,not-sent,,
matt-doocey,Matt Doocey,National Party,candidate-ai-tech,medium,not-started,not-started,not-started,not-sent,,
barbara-edmonds,Barbara Edmonds,Labour Party,later,light,not-started,not-started,not-started,not-sent,,
takuta-ferris,Tākuta Ferris,Independent - not party affiliated,later,light,not-started,not-started,not-started,not-sent,,
greg-fleming,Greg Fleming,National Party,later,light,not-started,not-started,not-started,not-sent,,
andy-foster,Andy Foster,NZ First Party,later,light,not-started,not-started,not-started,not-sent,,
paulo-garcia,Paulo Garcia,National Party,later,light,not-started,not-started,not-started,not-sent,,
julie-anne-genter,Julie Anne Genter,Green Party,later,light,not-started,not-started,not-started,not-sent,,
paul-goldsmith,Paul Goldsmith,National Party,later,light,not-started,not-started,not-started,not-sent,,
nicola-grigg,Nicola Grigg,National Party,later,light,not-started,not-started,not-started,not-sent,,
shanan-halbert,Shanan Halbert,Labour Party,later,light,not-started,not-started,not-started,not-sent,,
ryan-hamilton,Ryan Hamilton,National Party,later,light,not-started,not-started,not-started,not-sent,,
peeni-henare,Peeni Henare,Labour Party,later,light,not-started,not-started,not-started,not-sent,,
francisco-hernandez,Francisco Hernandez,Green Party,candidate-ai-tech,medium,not-started,not-started,not-started,not-sent,,
chris-hipkins,Chris Hipkins,Labour Party,candidate-signal,heavy,not-started,not-started,not-started,not-sent,,
andrew-hoggard,Andrew Hoggard,ACT Party,later,light,not-started,not-started,not-started,not-sent,,
willie-jackson,Willie Jackson,Labour Party,later,light,not-started,not-started,not-started,not-sent,,
shane-jones,Shane Jones,NZ First Party,later,light,not-started,not-started,not-started,not-sent,,
oriini-kaipara,Oriini Kaipara,Te Pāti Māori,later,light,not-started,not-started,not-started,not-sent,,
mariameno-kapa-kingi,Mariameno Kapa-Kingi,Independent - not party affiliated,later,light,not-started,not-started,not-started,not-sent,,
dana-kirkpatrick,Dana Kirkpatrick,National Party,later,light,not-started,not-started,not-started,not-sent,,
barbara-kuriger,Barbara Kuriger,National Party,later,light,not-started,not-started,not-started,not-sent,,
ingrid-leary,Ingrid Leary,Labour Party,later,light,not-started,not-started,not-started,not-sent,,
melissa-lee,Melissa Lee,National Party,candidate-ai-tech,medium,not-started,not-started,not-started,not-sent,,
nancy-lu,Nancy Lu,National Party,later,light,not-started,not-started,not-started,not-sent,,
christopher-luxon,Christopher Luxon,National Party,candidate-signal,heavy,not-started,not-started,not-started,not-sent,,
